"lea_code","lea_name","school_code","school_name","assessment","assessmenttype","cohort","subject","grade","year","subgroup","percent_level_1","percent_level_2","percent_level_3","percent_level_4","percent_level_5","percent_proficient","percent_proficient_3+"
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","5th Grade","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0,0.22
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","6th Grade","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.17,0.5
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","6th Grade","2014-2015","Female",NA,NA,NA,NA,NA,0.17,0.5
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","6th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.17,0.5
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","6th Grade","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.17,0.5
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","6th Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.17,0.5
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","6th Grade","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.21,0.58
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","All","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.05,0.25
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","All","2014-2015","Female",NA,NA,NA,NA,NA,0.05,0.25
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","All","2014-2015","All",NA,NA,NA,NA,NA,0.05,0.25
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","All","2014-2015","Economically Disadvantaged",NA,NA,NA,NA,NA,0.05,0.25
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","All","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.05,0.25
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","All","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.06,0.28
"0158","Excel Academy PCS","All","All","All","All","Tested","Math","All","2014-2015","Special Education",NA,NA,NA,NA,NA,0,0.09
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","3rd Grade","2014-2015","Black/African American",0.29,0.23,0.23,0.25,0,0.25,0.48
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","3rd Grade","2014-2015","Female",0.29,0.23,0.23,0.25,0,0.25,0.48
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","3rd Grade","2014-2015","All",0.29,0.23,0.23,0.25,0,0.25,0.48
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","3rd Grade","2014-2015","Economically Disadvantaged",0.29,0.23,0.23,0.25,0,0.25,0.48
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","3rd Grade","2014-2015","Not Limited English Proficient",0.29,0.23,0.23,0.25,0,0.25,0.48
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","3rd Grade","2014-2015","Not Special Education",0.22,0.25,0.25,0.29,0,0.29,0.54
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","3rd-8th Grade","2014-2015","All",0.17,0.29,0.31,0.23,0,0.23,0.54
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","4th Grade","2014-2015","Black/African American",0.06,0.27,0.5,0.17,0,0.17,0.67
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","4th Grade","2014-2015","Female",0.06,0.27,0.49,0.18,0,0.18,0.67
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","4th Grade","2014-2015","All",0.06,0.27,0.49,0.18,0,0.18,0.67
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","4th Grade","2014-2015","Economically Disadvantaged",0.06,0.27,0.49,0.18,0,0.18,0.67
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","4th Grade","2014-2015","Not Limited English Proficient",0.06,0.27,0.49,0.18,0,0.18,0.67
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","4th Grade","2014-2015","Not Special Education",0.07,0.21,0.51,0.21,0,0.21,0.72
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","5th Grade","2014-2015","Black/African American",0.23,0.41,0.28,0.08,0,0.08,0.36
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","5th Grade","2014-2015","Female",0.23,0.43,0.28,0.08,0,0.08,0.35
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","5th Grade","2014-2015","All",0.23,0.43,0.28,0.08,0,0.08,0.35
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","5th Grade","2014-2015","Economically Disadvantaged",0.23,0.43,0.28,0.08,0,0.08,0.35
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","5th Grade","2014-2015","Not Limited English Proficient",0.23,0.43,0.28,0.08,0,0.08,0.35
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","5th Grade","2014-2015","Not Special Education",0.13,0.45,0.32,0.1,0,0.1,0.42
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","6th Grade","2014-2015","Black/African American",0.04,0.31,0.27,0.38,0,0.38,0.65
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","6th Grade","2014-2015","Female",0.04,0.31,0.27,0.38,0,0.38,0.65
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","6th Grade","2014-2015","All",0.04,0.31,0.27,0.38,0,0.38,0.65
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","6th Grade","2014-2015","Economically Disadvantaged",0.04,0.31,0.27,0.38,0,0.38,0.65
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","6th Grade","2014-2015","Not Limited English Proficient",0.04,0.31,0.27,0.38,0,0.38,0.65
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","6th Grade","2014-2015","Not Special Education",0.03,0.21,0.29,0.47,0,0.47,0.76
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","All","2014-2015","Black/African American",0.17,0.29,0.31,0.23,0,0.23,0.54
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","All","2014-2015","Female",0.17,0.29,0.31,0.23,0,0.23,0.54
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","All","2014-2015","All",0.17,0.29,0.31,0.23,0,0.23,0.54
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","All","2014-2015","Economically Disadvantaged",0.17,0.29,0.31,0.23,0,0.23,0.54
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","All","2014-2015","Not Limited English Proficient",0.17,0.29,0.31,0.23,0,0.23,0.54
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","All","2014-2015","Not Special Education",0.12,0.27,0.33,0.28,0,0.28,0.61
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Reading","All","2014-2015","Special Education",0.4,0.43,0.17,0,0,0,0.17
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","3rd Grade","2014-2015","Black/African American",0.44,0.43,0.09,0.04,0,0.04,0.13
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","3rd Grade","2014-2015","Female",0.44,0.43,0.09,0.04,0,0.04,0.13
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","3rd Grade","2014-2015","All",0.44,0.43,0.09,0.04,0,0.04,0.13
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","3rd Grade","2014-2015","Economically Disadvantaged",0.44,0.43,0.09,0.04,0,0.04,0.13
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","3rd Grade","2014-2015","Not Limited English Proficient",0.44,0.43,0.09,0.04,0,0.04,0.13
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","3rd Grade","2014-2015","Not Special Education",0.4,0.45,0.11,0.05,0,0.05,0.15
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","3rd-8th Grade","2014-2015","All",0.36,0.39,0.2,0.05,0,0.05,0.25
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","4th Grade","2014-2015","Black/African American",0.35,0.44,0.21,0,0,0,0.21
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","4th Grade","2014-2015","Female",0.35,0.43,0.22,0,0,0,0.22
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","4th Grade","2014-2015","All",0.35,0.43,0.22,0,0,0,0.22
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","4th Grade","2014-2015","Economically Disadvantaged",0.35,0.43,0.22,0,0,0,0.22
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","4th Grade","2014-2015","Not Limited English Proficient",0.35,0.43,0.22,0,0,0,0.22
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","4th Grade","2014-2015","Not Special Education",0.28,0.47,0.26,0,0,0,0.26
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","5th Grade","2014-2015","Black/African American",0.45,0.35,0.2,0,0,0,0.2
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","5th Grade","2014-2015","Female",0.44,0.37,0.2,0,0,0,0.2
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","5th Grade","2014-2015","All",0.44,0.37,0.2,0,0,0,0.2
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","5th Grade","2014-2015","Economically Disadvantaged",0.44,0.37,0.2,0,0,0,0.2
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","5th Grade","2014-2015","Not Limited English Proficient",0.44,0.37,0.2,0,0,0,0.2
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","5th Grade","2014-2015","Not Special Education",0.38,0.41,0.22,0,0,0,0.22
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","6th Grade","2014-2015","Black/African American",0.19,0.31,0.33,0.17,0,0.17,0.5
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","6th Grade","2014-2015","Female",0.19,0.31,0.33,0.17,0,0.17,0.5
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","6th Grade","2014-2015","All",0.19,0.31,0.33,0.17,0,0.17,0.5
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","6th Grade","2014-2015","Economically Disadvantaged",0.19,0.31,0.33,0.17,0,0.17,0.5
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","6th Grade","2014-2015","Not Limited English Proficient",0.19,0.31,0.33,0.17,0,0.17,0.5
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","6th Grade","2014-2015","Not Special Education",0.08,0.34,0.37,0.21,0,0.21,0.58
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","All","2014-2015","Black/African American",0.36,0.39,0.19,0.05,0,0.05,0.25
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","All","2014-2015","Female",0.36,0.39,0.2,0.05,0,0.05,0.25
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","All","2014-2015","All",0.36,0.39,0.2,0.05,0,0.05,0.25
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","All","2014-2015","Economically Disadvantaged",0.36,0.39,0.2,0.05,0,0.05,0.25
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","All","2014-2015","Not Limited English Proficient",0.36,0.39,0.2,0.05,0,0.05,0.25
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","All","2014-2015","Not Special Education",0.3,0.42,0.22,0.06,0,0.06,0.28
"0158","Excel Academy PCS","All","All","All","Traditional","Tested","Math","All","2014-2015","Special Education",0.69,0.23,0.09,0,0,0,0.09
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","3rd Grade","2014-2015","Black/African American",0.29,0.23,0.23,0.25,0,0.25,0.48
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","3rd Grade","2014-2015","Female",0.29,0.23,0.23,0.25,0,0.25,0.48
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","3rd Grade","2014-2015","All",0.29,0.23,0.23,0.25,0,0.25,0.48
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","3rd Grade","2014-2015","Economically Disadvantaged",0.29,0.23,0.23,0.25,0,0.25,0.48
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","3rd Grade","2014-2015","Not Limited English Proficient",0.29,0.23,0.23,0.25,0,0.25,0.48
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","3rd Grade","2014-2015","Not Special Education",0.22,0.25,0.25,0.29,0,0.29,0.54
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","3rd-8th Grade","2014-2015","All",0.17,0.29,0.31,0.23,0,0.23,0.54
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","4th Grade","2014-2015","Black/African American",0.06,0.27,0.5,0.17,0,0.17,0.67
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","4th Grade","2014-2015","Female",0.06,0.27,0.49,0.18,0,0.18,0.67
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","4th Grade","2014-2015","All",0.06,0.27,0.49,0.18,0,0.18,0.67
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","4th Grade","2014-2015","Economically Disadvantaged",0.06,0.27,0.49,0.18,0,0.18,0.67
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","4th Grade","2014-2015","Not Limited English Proficient",0.06,0.27,0.49,0.18,0,0.18,0.67
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","4th Grade","2014-2015","Not Special Education",0.07,0.21,0.51,0.21,0,0.21,0.72
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","5th Grade","2014-2015","Black/African American",0.23,0.41,0.28,0.08,0,0.08,0.36
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","5th Grade","2014-2015","Female",0.23,0.43,0.28,0.08,0,0.08,0.35
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","5th Grade","2014-2015","All",0.23,0.43,0.28,0.08,0,0.08,0.35
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","5th Grade","2014-2015","Economically Disadvantaged",0.23,0.43,0.28,0.08,0,0.08,0.35
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","5th Grade","2014-2015","Not Limited English Proficient",0.23,0.43,0.28,0.08,0,0.08,0.35
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","5th Grade","2014-2015","Not Special Education",0.13,0.45,0.32,0.1,0,0.1,0.42
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","6th Grade","2014-2015","Black/African American",0.04,0.31,0.27,0.38,0,0.38,0.65
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","6th Grade","2014-2015","Female",0.04,0.31,0.27,0.38,0,0.38,0.65
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","6th Grade","2014-2015","All",0.04,0.31,0.27,0.38,0,0.38,0.65
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","6th Grade","2014-2015","Economically Disadvantaged",0.04,0.31,0.27,0.38,0,0.38,0.65
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","6th Grade","2014-2015","Not Limited English Proficient",0.04,0.31,0.27,0.38,0,0.38,0.65
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","6th Grade","2014-2015","Not Special Education",0.03,0.21,0.29,0.47,0,0.47,0.76
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","All","2014-2015","Black/African American",0.17,0.29,0.31,0.23,0,0.23,0.54
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","All","2014-2015","Female",0.17,0.29,0.31,0.23,0,0.23,0.54
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","All","2014-2015","All",0.17,0.29,0.31,0.23,0,0.23,0.54
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","All","2014-2015","Economically Disadvantaged",0.17,0.29,0.31,0.23,0,0.23,0.54
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","All","2014-2015","Not Limited English Proficient",0.17,0.29,0.31,0.23,0,0.23,0.54
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","All","2014-2015","Not Special Education",0.12,0.27,0.33,0.28,0,0.28,0.61
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Reading","All","2014-2015","Special Education",0.4,0.43,0.17,0,0,0,0.17
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","3rd Grade","2014-2015","Black/African American",0.44,0.43,0.09,0.04,0,0.04,0.13
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","3rd Grade","2014-2015","Female",0.44,0.43,0.09,0.04,0,0.04,0.13
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","3rd Grade","2014-2015","All",0.44,0.43,0.09,0.04,0,0.04,0.13
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","3rd Grade","2014-2015","Economically Disadvantaged",0.44,0.43,0.09,0.04,0,0.04,0.13
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","3rd Grade","2014-2015","Not Limited English Proficient",0.44,0.43,0.09,0.04,0,0.04,0.13
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","3rd Grade","2014-2015","Not Special Education",0.4,0.45,0.11,0.05,0,0.05,0.15
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","3rd-8th Grade","2014-2015","All",0.36,0.39,0.2,0.05,0,0.05,0.25
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","4th Grade","2014-2015","Black/African American",0.35,0.44,0.21,0,0,0,0.21
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","4th Grade","2014-2015","Female",0.35,0.43,0.22,0,0,0,0.22
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","4th Grade","2014-2015","All",0.35,0.43,0.22,0,0,0,0.22
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","4th Grade","2014-2015","Economically Disadvantaged",0.35,0.43,0.22,0,0,0,0.22
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","4th Grade","2014-2015","Not Limited English Proficient",0.35,0.43,0.22,0,0,0,0.22
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","4th Grade","2014-2015","Not Special Education",0.28,0.47,0.26,0,0,0,0.26
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","5th Grade","2014-2015","Black/African American",0.45,0.35,0.2,0,0,0,0.2
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","5th Grade","2014-2015","Female",0.44,0.37,0.2,0,0,0,0.2
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","5th Grade","2014-2015","All",0.44,0.37,0.2,0,0,0,0.2
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","5th Grade","2014-2015","Economically Disadvantaged",0.44,0.37,0.2,0,0,0,0.2
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","5th Grade","2014-2015","Not Limited English Proficient",0.44,0.37,0.2,0,0,0,0.2
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","5th Grade","2014-2015","Not Special Education",0.38,0.41,0.22,0,0,0,0.22
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","6th Grade","2014-2015","Black/African American",0.19,0.31,0.33,0.17,0,0.17,0.5
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","6th Grade","2014-2015","Female",0.19,0.31,0.33,0.17,0,0.17,0.5
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","6th Grade","2014-2015","All",0.19,0.31,0.33,0.17,0,0.17,0.5
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","6th Grade","2014-2015","Economically Disadvantaged",0.19,0.31,0.33,0.17,0,0.17,0.5
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","6th Grade","2014-2015","Not Limited English Proficient",0.19,0.31,0.33,0.17,0,0.17,0.5
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","6th Grade","2014-2015","Not Special Education",0.08,0.34,0.37,0.21,0,0.21,0.58
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","All","2014-2015","Black/African American",0.36,0.39,0.19,0.05,0,0.05,0.25
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","All","2014-2015","Female",0.36,0.39,0.2,0.05,0,0.05,0.25
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","All","2014-2015","All",0.36,0.39,0.2,0.05,0,0.05,0.25
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","All","2014-2015","Economically Disadvantaged",0.36,0.39,0.2,0.05,0,0.05,0.25
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","All","2014-2015","Not Limited English Proficient",0.36,0.39,0.2,0.05,0,0.05,0.25
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","All","2014-2015","Not Special Education",0.3,0.42,0.22,0.06,0,0.06,0.28
"0158","Excel Academy PCS","All","All","PARCC","Traditional","Tested","Math","All","2014-2015","Special Education",0.69,0.23,0.09,0,0,0,0.09
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Female",NA,NA,NA,NA,NA,0.8,0.89
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Male",NA,NA,NA,NA,NA,0.5,0.79
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","All",NA,NA,NA,NA,NA,0.67,0.84
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.68,0.85
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.69,0.84
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","3rd Grade","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.69,0.86
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","3rd-8th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.62,0.8
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.24,0.52
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Female",NA,NA,NA,NA,NA,0.5,0.69
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Male",NA,NA,NA,NA,NA,0.44,0.7
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","4th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.47,0.7
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.51,0.74
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.51,0.73
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","4th Grade","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.5,0.76
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Female",NA,NA,NA,NA,NA,0.64,0.76
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","5th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.71,0.85
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.74,0.88
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.72,0.87
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","5th Grade","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.8,0.93
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","All","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.4,0.63
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","All","2014-2015","Multiracial",NA,NA,NA,NA,NA,0.81,0.94
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","All","2014-2015","White",NA,NA,NA,NA,NA,0.74,0.91
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","All","2014-2015","Female",NA,NA,NA,NA,NA,0.66,0.79
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","All","2014-2015","Male",NA,NA,NA,NA,NA,0.56,0.81
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","All","2014-2015","All",NA,NA,NA,NA,NA,0.62,0.8
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","All","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.64,0.83
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","All","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.64,0.82
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Reading","All","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.66,0.85
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Math","3rd Grade","2014-2015","Female",NA,NA,NA,NA,NA,0.71,0.91
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Math","3rd Grade","2014-2015","Male",NA,NA,NA,NA,NA,0.5,0.79
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Math","3rd Grade","2014-2015","All",NA,NA,NA,NA,NA,0.62,0.86
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Math","3rd Grade","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.63,0.87
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Math","3rd Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.67,0.88
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Math","3rd Grade","2014-2015","Not Special Education",NA,NA,NA,NA,NA,0.66,0.88
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Math","3rd-8th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.6,0.83
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Math","4th Grade","2014-2015","Black/African American",NA,NA,NA,NA,NA,0.28,0.6
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Math","4th Grade","2014-2015","Female",NA,NA,NA,NA,NA,0.5,0.65
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Math","4th Grade","2014-2015","Male",NA,NA,NA,NA,NA,0.52,0.89
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Math","4th Grade","2014-2015","All",NA,NA,NA,NA,NA,0.51,0.77
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Math","4th Grade","2014-2015","Not Economically Disadvantaged",NA,NA,NA,NA,NA,0.53,0.83
"0160","Washington Yu Ying PCS","All","All","All","All","Tested","Math","4th Grade","2014-2015","Not Limited English Proficient",NA,NA,NA,NA,NA,0.55,0.8
